type,space,price,area_price,address,metro,subtitle,date,source
Апартаменты-студия,24,5 550 000₽,,"ул. Салова, 61","Бухарестская ,до 5 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_247_m_918_et._7967541130?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmeTEwYXZ6VmN5QmFsQkRWIjt9-JXBBT8AAAA
2-к. квартира,71,12 000 000₽,,"Курляндская ул., 16-18","Балтийская ,11–15 мин.",,28 мая 2024,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_711_m_25_et._3870906813?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmeTEwYXZ6VmN5QmFsQkRWIjt9-JXBBT8AAAA
1-к. квартира,41,15 800 000₽,,"Кременчугская ул., 9к1","Площадь А. Невского II ,11–15 мин.",,22 июля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_417_m_89_et._7531389868?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmeTEwYXZ6VmN5QmFsQkRWIjt9-JXBBT8AAAA
3-к. квартира,93,23 500 000₽,,"Туристская ул., 13к1","Беговая ,16–20 мин.",,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_933_m_1718_et._7945171028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmeTEwYXZ6VmN5QmFsQkRWIjt9-JXBBT8AAAA
2-к. квартира,58 м²,15 600 000₽,,"Комендантский пр-т, 66к3","Комендантский проспект ,от 31 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_58_m_125_et._7973525287?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
Квартира-студия,23,6 150 000₽,,"ул. Адмирала Черокова, 20, этаж 2",,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_239_m_213_et._7848776049?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
2-к. квартира,65,19 500 000₽,,"Будапештская ул., 102","Дунайская ,11–15 мин.",,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_651_m_427_et._7889820397?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
2-к. квартира,63,14 800 000₽,,"Учительская ул., 19к3","Гражданский проспект ,11–15 мин.",,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_637_m_216_et._7870471562?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
Квартира-студия,33,6 900 000₽,,"пр-т Королёва, 43к1","Комендантский проспект ,16–20 мин.",,24 февраля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_339_m_1216_et._4787599148?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
Квартира-студия,23,6 500 000₽,,"пр-т Большевиков, 68к1","Ломоносовская ,21–30 мин.",,23 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_234_m_1818_et._7891696769?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
2-к. квартира,66 м²,19 800 000₽,,"ул. Бутлерова, 9к2","Академическая ,11–15 мин.",,24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_66_m_722_et._7832505188?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
Апартаменты-студия,24,5 550 000₽,,"ул. Салова, 61","Бухарестская ,до 5 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_247_m_918_et._7967541130?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKNW1DdFB4QVNaZXN6RVloIjt9XqVH0z8AAAA
