type,space,price,area_price,address,metro,subtitle,date,source
1-к. квартира,34 м²,8 000 000₽,,"Меридианная ул., 8",,,8 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34_m_25_et._7625745598?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,57,13 200 000₽,,"ул. Черняховского, 71Б","Лиговский проспект ,до 5 мин.",,27 октября 2024,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_575_m_34_et._4539180057?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,33,8 500 000₽,,"Будапештская ул., 98к1","Дунайская ,11–15 мин.",,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335_m_114_et._7973259343?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,44,9 640 000₽,,"пр-т Тореза, 82","Удельная ,11–15 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_445_m_55_et._7892050987?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,42,6 600 000₽,,,,,7 дней назад,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_426_m_25_et._7910897939?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,31,8 500 000₽,,"Витебский пр-т, 29к2","Парк Победы ,21–30 мин.",,28 февраля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_317_m_29_et._4733660268?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,77,21 300 000₽,,"Галерный пр., 5","Приморская ,16–20 мин.",,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_773_m_917_et._7990064922?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Квартира-студия,29 м²,7 200 000₽,,"ул. Ушинского, 33к3","Гражданский проспект ,6–10 мин.",,24 января 17:22,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_29_m_1117_et._7867566252?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Квартира-студия,10,3 800 000₽,,"ул. Чайковского, 31","Чернышевская ,6–10 мин.",,9 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_108_m_25_et._7928286838?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Квартира-студия,26,4 300 000₽,,"Пахомовская ул., 22",,,28 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_266_m_2224_et._7734994632?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,30,6 500 000₽,,"Пискарёвский пр-т, 20",,,12 января 16:02,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_305_m_49_et._7923403272?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,34 м²,8 550 000₽,,"ул. Композиторов, 5","Проспект Просвещения ,11–15 мин.",,11 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34_m_614_et._7970256430?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
1-к. квартира,39,9 500 000₽,,"Школьная ул., 110к1","Беговая ,11–15 мин.",,9 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_392_m_812_et._7987040043?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
Квартира-студия,21,7 100 000₽,,"Социалистическая ул., 9","Звенигородская ,6–10 мин.",,30 мая 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_215_m_35_et._7411663947?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWTUtWSjJLUVA3YW5mMjV2Ijt9JKEkTD8AAAA
2-к. квартира,77,21 300 000₽,,"Галерный пр., 5","Приморская ,16–20 мин.",,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_773_m_917_et._7990064922?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoUkdOeloxaUpqSzJZSjRTIjt9YvLx0j8AAAA
Квартира-студия,29 м²,7 200 000₽,,"ул. Ушинского, 33к3","Гражданский проспект ,6–10 мин.",,24 января 17:22,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_29_m_1117_et._7867566252?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoUkdOeloxaUpqSzJZSjRTIjt9YvLx0j8AAAA
Квартира-студия,10,3 800 000₽,,"ул. Чайковского, 31","Чернышевская ,6–10 мин.",,9 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_108_m_25_et._7928286838?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoUkdOeloxaUpqSzJZSjRTIjt9YvLx0j8AAAA
Квартира-студия,26,4 300 000₽,,"Пахомовская ул., 22",,,28 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_266_m_2224_et._7734994632?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoUkdOeloxaUpqSzJZSjRTIjt9YvLx0j8AAAA
